poolID,liquidity,liquidity24hChange,asset0Symbol,asset0Denom,asset0Amount,asset0gecko,asset1Symbol,asset1Denom,asset1Amount,asset1gecko,volume24h,volume7d,fee
756,5894.118199647932,-4.364764943037313,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,422779.027968,bitsong,RWNE,ibc/56C276FC136E239449DCE664292DBEEF5795C4EF4B5B35DB98BD1C0948274867,5029520.804082,,0,0,0.3%
757,1818.4465562167586,-4.3116951097875535,ENMODA,ibc/051A38BBEF92B9D8293AFBE1FA293E704359E9CB28297A0FD5DBA3E9CCEE9AB1,4849424.784573,,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,130435.298616,bitsong,0,5.134451954961458,0.3%
758,5229.531025367116,-4.384080404949081,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,375108.874431,bitsong,404DR,ibc/B797E4F42CD33C50511B341E50C5CC0E8EF0D93B1E1247ABAA071583B8619202,5050448.633707,,0,0,0.3%
759,1249.5231423623452,-4.300502047392595,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,89627.008088,bitsong,N43,ibc/E4FFAACCDB7D55CE2D257DF637C00158CB841F11D0013B2D03E31FF7800A2C58,3907917.660943,,0,0,0.3%
760,1097.9208284931888,-4.311827813481283,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,78752.730253,bitsong,LOBO,ibc/C9864D1B9623F703C75BBF72B7FF8A7317E1535C96538D21467A4311246DC3B5,4961409.430648,,0,0,0.3%
761,2941.6662599074134,-4.310586987447847,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,211002.691131,bitsong,VIBRA,ibc/8A07D4BD40E0F44ECFDF360F7EA7008B288926FB87C54489FE54DB81A5340E0C,4833124.433006,,0,4.683903865361411,0.3%
762,3292.020048025532,-4.28567738149088,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,236133.207515,bitsong,KARINA,ibc/6A6174468758D207DD2D880363BF699C6568A29E87651337AEDAFD9E69EA7E58,5426866.139066,,2.1200609093645815,2.1200609093645815,0.3%
763,3451.8810045514965,-4.306232253522168,TESTA,ibc/022A879A5301CBCACF96216C967805F15C33C615B74DC7236027C1BA1BF664FF,4911906.871283,,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,247599.869282,bitsong,0,0,0.3%
764,2724.7994812198117,-4.302922019792366,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,195447.060452,bitsong,CMQZ,ibc/C1CEF00F016FE89EA6E5B07DA895AACD91B0AAD69A991033D846B988AD4FB69D,7641387.048888,,0.10239171459737964,0.22686952246669492,0.3%
765,1909.3263534462042,-4.304078003135685,FASANO,ibc/423967B46B1A51D78619085105B04FCFA14F7CBC0BE7539A316B2DCDFC7D8C07,7358751.468976,,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,136954.012872,bitsong,0,0,0.3%
